1634,1218
1788,1196
441,717
397,843
1011,655
1883,2095
1906,1810
1824,1346
852,1847
1639,162
268,2163
1845,562
1327,545
669,659
2130,675
839,909
250,1724
1629,1290
1017,1943
1654,426
791,477
1877,1393
1415,1948
688,1254
523,1617
682,1333
685,950
797,74
1611,1729
444,1799
301,1748
1615,1930
1813,1001
2049,291
1866,1460
1355,179
553,459
592,940
1235,933
1566,996
321,600
1659,702
821,1321
1812,1034
1110,2114
558,313
1360,881
1742,2120
1970,320
905,244
1409,1136
377,1553
1319,1464
1355,1251
1903,759
50,1679
758,2085
666,1930
1151,611
30,1399
1877,2108
862,200
1430,1087
786,1043
2003,969
1684,928
1172,937
1615,1671
1661,1575
1974,1327
